    + --- ---------------- --------- +
    |       Speed-Based A* Recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.373e-06 |
  2 |   2                3 8.780e-07 |
  3 |   3                4 9.670e-07 |
  4 |   3                4 9.830e-07 |
  5 |   4                5 7.920e-07 |
  6 |   4                5 1.055e-06 |
  7 |   5                6 9.100e-07 |
  8 |   5                6 1.110e-06 |
  9 |   5                6 1.276e-06 |
 10 |   6                7 1.240e-06 |
 11 |   6                7 1.217e-06 |
 12 |   6                7 1.276e-06 |
 13 |   7                8 1.248e-06 |
 14 |   7                8 1.331e-06 |
 15 |   7                8 1.332e-06 |
 16 |   7                8 1.497e-06 |
 17 |   8                9 1.400e-06 |
 18 |   8                9 1.412e-06 |
 19 |   8                9 3.167e-06 |
 20 |   8                9 1.454e-06 |
 21 |   9               10 1.480e-06 |
 22 |   9               10 1.493e-06 |
 23 |   9               10 1.528e-06 |
 24 |   9               10 1.548e-06 |
 25 |   9               10 1.362e-06 |
 26 |  10               11 1.362e-06 |
 27 |  10               11 1.091e-06 |
 28 |  10               11 1.393e-06 |
 29 |  11               12 1.239e-06 |
 30 |  11               13 1.516e-06 |
 31 |  11               13 1.569e-06 |
 32 |  12               14 1.486e-06 |
 33 |  12               14 1.308e-06 |
 34 |  12               14 3.816e-06 |
 35 |  13               15 1.833e-06 |
 36 |  13               15 1.703e-06 |
 37 |  13               15 1.479e-06 |
 38 |  14               16 1.714e-06 |
 39 |  14               16 1.654e-06 |
 40 |  14               16 1.456e-06 |
 41 |  15               17 1.790e-06 |
 42 |  15               17 1.604e-06 |
 43 |  15               17 1.716e-06 |
 44 |  16               18 3.860e-06 |
 45 |  16               18 2.601e-06 |
 46 |  16               18 2.330e-06 |
 47 |  16               18 1.668e-06 |
 48 |  17               19 1.727e-06 |
 49 |  17               19 1.734e-06 |
 50 |  17               19 2.016e-06 |
 55 |  19               21 2.822e-06 |
 60 |  22               24 4.487e-06 |
 65 |  23               25 2.780e-06 |
 70 |  25               27 2.935e-06 |
 75 |  26               28 2.468e-06 |
 80 |  27               29 2.551e-06 |
 85 |  28               30 4.723e-06 |
 90 |  29               31 2.882e-06 |
 95 |  31               33 3.421e-06 |
100 |  33               36 4.142e-06 |
110 |  38               41 5.929e-06 |
120 |  41               44 4.614e-06 |
130 |  43               46 4.169e-06 |
140 |  45               48 6.405e-06 |
150 |  47               50 4.874e-06 |
160 |  50               54 5.794e-06 |
170 |  55               59 8.098e-06 |
180 |  58               62 6.348e-06 |
190 |  61               65 1.676e-05 |
200 |  62               66 9.577e-06 |
220 |  69               73 1.224e-05 |
240 |  76               80 8.456e-06 |
260 |  80               84 1.105e-05 |
280 |  87               93 9.026e-06 |
300 |  95              101 1.238e-05 |
320 |  99              105 8.998e-06 |
340 | 108              115 1.336e-05 |
360 | 112              119 1.151e-05 |
380 | 117              124 1.163e-05 |
400 | 126              141 1.431e-05 |
420 | 131              146 1.109e-05 |
440 | 135              150 1.083e-05 |
460 | 143              158 1.100e-05 |
480 | 149              164 1.265e-05 |
500 | 155              171 1.154e-05 |
520 | 163              179 1.357e-05 |
540 | 168              184 1.337e-05 |
560 | 174              190 1.277e-05 |
580 | 181              197 1.332e-05 |
600 | 185              201 1.690e-05 |
620 | 191              207 1.773e-05 |
640 | 198              214 1.701e-05 |
660 | 202              218 1.878e-05 |
680 | 209              225 1.160e-05 |
700 | 216              232 1.311e-05 |
720 | 221              240 1.183e-05 |
740 | 230              254 1.638e-05 |
760 | 235              259 1.669e-05 |
780 | 239              263 1.708e-05 |
800 | 248              275 1.684e-05 |
--- + --- ---------------- --------- +
