    + --- ---------------- --------- +
    |     Fast Dynamic non-recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 9.200e-07 |
  2 |   2                3 5.140e-07 |
  3 |   3                4 5.230e-07 |
  4 |   3                4 5.180e-07 |
  5 |   4                5 4.830e-07 |
  6 |   4                5 5.020e-07 |
  7 |   5                6 5.130e-07 |
  8 |   5                6 5.150e-07 |
  9 |   5                6 4.850e-07 |
 10 |   6                7 5.220e-07 |
 11 |   6                7 1.009e-06 |
 12 |   6                7 4.360e-07 |
 13 |   7                8 3.730e-07 |
 14 |   7                8 4.690e-07 |
 15 |   7                8 3.820e-07 |
 16 |   7                8 4.680e-07 |
 17 |   8                9 4.170e-07 |
 18 |   8                9 4.210e-07 |
 19 |   8                9 3.720e-07 |
 20 |   8                9 3.680e-07 |
 21 |   9               10 6.180e-07 |
 22 |   9               10 3.870e-07 |
 23 |   9               10 3.680e-07 |
 24 |   9               10 4.430e-07 |
 25 |   9               10 4.000e-07 |
 26 |  10               11 3.920e-07 |
 27 |  10               11 4.170e-07 |
 28 |  10               11 4.550e-07 |
 29 |  10               11 4.040e-07 |
 30 |  10               11 4.050e-07 |
 31 |  11               12 5.440e-07 |
 32 |  11               12 4.240e-07 |
 33 |  11               12 5.460e-07 |
 34 |  12               13 4.400e-07 |
 35 |  12               13 5.780e-07 |
 36 |  12               13 5.690e-07 |
 37 |  13               14 5.310e-07 |
 38 |  13               14 6.230e-07 |
 39 |  13               14 5.810e-07 |
 40 |  14               15 5.370e-07 |
 41 |  14               15 5.330e-07 |
 42 |  14               15 5.060e-07 |
 43 |  15               16 6.710e-07 |
 44 |  15               16 5.590e-07 |
 45 |  15               16 5.350e-07 |
 46 |  16               17 5.370e-07 |
 47 |  16               17 6.320e-07 |
 48 |  16               17 5.480e-07 |
 49 |  16               17 5.890e-07 |
 50 |  17               18 6.460e-07 |
 55 |  19               20 1.048e-06 |
 60 |  21               22 7.960e-07 |
 65 |  23               24 8.980e-07 |
 70 |  25               26 8.190e-07 |
 75 |  26               27 8.440e-07 |
 80 |  27               28 8.420e-07 |
 85 |  28               29 1.032e-06 |
 90 |  29               30 1.148e-06 |
 95 |  31               32 9.610e-07 |
100 |  33               35 1.214e-06 |
110 |  38               40 1.916e-06 |
120 |  41               43 1.425e-06 |
130 |  43               45 1.264e-06 |
140 |  45               47 1.261e-06 |
150 |  47               49 1.265e-06 |
160 |  50               54 1.566e-06 |
170 |  55               59 1.768e-06 |
180 |  58               62 1.944e-06 |
190 |  60               64 1.973e-06 |
200 |  62               66 1.898e-06 |
220 |  68               72 3.571e-06 |
240 |  76               80 2.857e-06 |
260 |  80               84 2.936e-06 |
280 |  87               94 3.510e-06 |
300 |  95              102 3.850e-06 |
320 | 100              108 4.220e-06 |
340 | 109              121 6.434e-06 |
360 | 113              125 6.032e-06 |
380 | 118              131 6.683e-06 |
400 | 126              140 7.227e-06 |
420 | 132              146 9.241e-06 |
440 | 136              150 9.652e-06 |
460 | 145              159 1.038e-05 |
480 | 150              164 1.067e-05 |
500 | 156              170 1.108e-05 |
520 | 164              178 1.211e-05 |
540 | 169              183 1.279e-05 |
560 | 176              193 1.187e-05 |
580 | 183              200 1.395e-05 |
600 | 187              204 1.517e-05 |
620 | 193              212 1.560e-05 |
640 | 201              220 1.695e-05 |
660 | 206              228 1.767e-05 |
680 | 212              234 1.868e-05 |
700 | 221              243 1.989e-05 |
720 | 226              248 2.039e-05 |
740 | 235              261 2.228e-05 |
760 | 240              266 2.314e-05 |
780 | 243              269 2.335e-05 |
800 | 253              280 2.502e-05 |
--- + --- ---------------- --------- +
