    + --- ---------------- --------- +
    |Unitary-Cost Dijkstra Recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 5.640e-07 |
  2 |   2                3 2.970e-07 |
  3 |   3                4 2.770e-07 |
  4 |   3                5 3.090e-07 |
  5 |   4                6 3.250e-07 |
  6 |   4                7 2.870e-07 |
  7 |   5                8 3.150e-07 |
  8 |   5                9 3.050e-07 |
  9 |   5               10 3.250e-07 |
 10 |   6               11 3.650e-07 |
 11 |   6               12 3.320e-07 |
 12 |   6               13 3.900e-07 |
 13 |   7               14 3.710e-07 |
 14 |   7               15 3.290e-07 |
 15 |   7               16 3.530e-07 |
 16 |   7               17 4.690e-07 |
 17 |   8               18 4.780e-07 |
 18 |   8               19 4.200e-07 |
 19 |   8               20 4.220e-07 |
 20 |   8               21 5.250e-07 |
 21 |   9               22 5.480e-07 |
 22 |   9               23 4.280e-07 |
 23 |   9               24 4.550e-07 |
 24 |   9               25 4.850e-07 |
 25 |   9               26 7.160e-07 |
 26 |  10               27 6.680e-07 |
 27 |  10               28 6.440e-07 |
 28 |  10               29 6.400e-07 |
 29 |  11               30 6.920e-07 |
 30 |  11               70 1.986e-06 |
 31 |  11              165 3.847e-06 |
 32 |  12              166 3.619e-06 |
 33 |  12              167 3.559e-06 |
 34 |  12              168 3.947e-06 |
 35 |  13              169 3.998e-06 |
 36 |  13              170 4.115e-06 |
 37 |  13              171 4.155e-06 |
 38 |  14              172 3.923e-06 |
 39 |  14              173 4.083e-06 |
 40 |  14              174 4.089e-06 |
 41 |  15              175 4.531e-06 |
 42 |  15              176 4.500e-06 |
 43 |  15              177 4.305e-06 |
 44 |  16              178 4.584e-06 |
 45 |  16              179 4.366e-06 |
 46 |  16              180 4.351e-06 |
 47 |  16              181 5.468e-06 |
 48 |  17              182 4.311e-06 |
 49 |  17              183 4.488e-06 |
 50 |  17              184 4.368e-06 |
 55 |  19              189 5.026e-06 |
 60 |  22              194 5.467e-06 |
 65 |  23              199 5.394e-06 |
 70 |  25              204 5.732e-06 |
 75 |  26              209 6.924e-06 |
 80 |  27              214 5.980e-06 |
 85 |  28              219 6.248e-06 |
 90 |  29              224 1.978e-05 |
 95 |  31              228 6.875e-06 |
100 |  33              344 9.981e-06 |
110 |  38              354 1.179e-05 |
120 |  41              364 1.313e-05 |
130 |  43              374 1.477e-05 |
140 |  45              384 1.452e-05 |
150 |  47              394 1.376e-05 |
160 |  50              623 2.047e-05 |
170 |  55              633 2.177e-05 |
180 |  58              643 2.366e-05 |
190 |  61              653 2.522e-05 |
200 |  62              663 2.558e-05 |
220 |  69              682 3.027e-05 |
240 |  76              702 3.276e-05 |
260 |  80              722 3.479e-05 |
280 |  87              856 4.186e-05 |
300 |  95              876 4.469e-05 |
320 |  99              896 4.643e-05 |
340 | 108             1135 5.933e-05 |
360 | 112             1155 6.452e-05 |
380 | 117             1175 6.600e-05 |
400 | 126          1371845 2.876e-02 |
420 | 131          1371865 4.833e-02 |
440 | 135          1371885 6.238e-02 |
460 | 143          1371905 7.312e-02 |
480 | 149          1371925 8.191e-02 |
500 | 155          1372056 8.547e-02 |
520 | 163          1372076 9.398e-02 |
540 | 168          1372096 9.926e-02 |
560 | 174          1372116 1.060e-01 |
580 | 181          1372136 1.121e-01 |
600 | 185          1372156 1.156e-01 |
620 | 191          1372173 1.258e-01 |
640 | 198          1372193 1.314e-01 |
660 | 202          1372213 1.397e-01 |
680 | 209          1372233 1.464e-01 |
700 | 216          1372253 1.503e-01 |
720 | 221          1683232 1.614e-01 |
740 | 230          2742943 1.852e-01 |
760 | 235          2742963 2.064e-01 |
780 | 239          2742983 2.184e-01 |
800 | 248          2752150 2.356e-01 |
--- + --- ---------------- --------- +
