    + --- ---------------- --------- +
    |                 Fast recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.123e-06 |
  2 |   2                3 7.730e-07 |
  3 |   3                4 7.890e-07 |
  4 |   3                4 8.300e-07 |
  5 |   4                5 8.500e-07 |
  6 |   4                5 8.500e-07 |
  7 |   5                6 8.920e-07 |
  8 |   5                6 8.570e-07 |
  9 |   5                6 8.830e-07 |
 10 |   6                7 8.390e-07 |
 11 |   6                7 1.669e-06 |
 12 |   6                7 8.500e-07 |
 13 |   7                8 7.900e-07 |
 14 |   7                8 8.250e-07 |
 15 |   7                8 8.940e-07 |
 16 |   7                8 8.640e-07 |
 17 |   8                9 8.540e-07 |
 18 |   8                9 8.410e-07 |
 19 |   8                9 8.510e-07 |
 20 |   8                9 8.790e-07 |
 21 |   9               10 6.280e-07 |
 22 |   9               10 4.670e-07 |
 23 |   9               10 4.640e-07 |
 24 |   9               10 4.250e-07 |
 25 |   9               10 4.500e-07 |
 26 |  10               11 4.170e-07 |
 27 |  10               11 4.280e-07 |
 28 |  10               11 4.160e-07 |
 29 |  10               11 4.150e-07 |
 30 |  10               11 4.520e-07 |
 31 |  11               12 4.320e-07 |
 32 |  11               12 4.280e-07 |
 33 |  11               12 4.250e-07 |
 34 |  12               13 4.760e-07 |
 35 |  12               13 4.930e-07 |
 36 |  12               13 5.640e-07 |
 37 |  13               14 4.900e-07 |
 38 |  13               14 4.810e-07 |
 39 |  13               14 5.560e-07 |
 40 |  14               15 5.490e-07 |
 41 |  14               15 5.530e-07 |
 42 |  14               15 5.020e-07 |
 43 |  15               16 4.630e-07 |
 44 |  15               16 4.920e-07 |
 45 |  15               16 5.270e-07 |
 46 |  16               17 5.440e-07 |
 47 |  16               17 5.590e-07 |
 48 |  16               17 5.610e-07 |
 49 |  16               17 6.090e-07 |
 50 |  17               18 5.720e-07 |
 55 |  19               20 9.410e-07 |
 60 |  21               22 7.210e-07 |
 65 |  23               24 7.740e-07 |
 70 |  25               26 8.180e-07 |
 75 |  26               27 7.000e-07 |
 80 |  27               28 7.610e-07 |
 85 |  28               29 8.400e-07 |
 90 |  29               30 8.320e-07 |
 95 |  31               32 9.270e-07 |
100 |  33               35 1.147e-06 |
110 |  38               40 1.828e-06 |
120 |  41               43 1.511e-06 |
130 |  43               45 1.377e-06 |
140 |  45               47 1.492e-06 |
150 |  47               49 1.391e-06 |
160 |  50               54 1.705e-06 |
170 |  55               59 1.970e-06 |
180 |  58               62 1.764e-06 |
190 |  60               64 1.774e-06 |
200 |  62               66 1.793e-06 |
220 |  68               72 2.622e-06 |
240 |  76               80 2.446e-06 |
260 |  80               84 3.917e-06 |
280 |  87               94 2.598e-06 |
300 |  95              102 2.462e-06 |
320 | 100              108 2.962e-06 |
340 | 109              121 3.001e-06 |
360 | 113              125 3.031e-06 |
380 | 118              131 3.148e-06 |
400 | 126              140 3.390e-06 |
420 | 132              146 5.505e-06 |
440 | 136              150 3.418e-06 |
460 | 145              159 3.854e-06 |
480 | 150              164 3.362e-06 |
500 | 156              170 3.857e-06 |
520 | 164              178 4.040e-06 |
540 | 169              183 3.700e-06 |
560 | 176              193 3.992e-06 |
580 | 183              200 5.220e-06 |
600 | 187              204 4.195e-06 |
620 | 193              212 4.081e-06 |
640 | 201              220 4.417e-06 |
660 | 206              228 4.409e-06 |
680 | 212              234 4.514e-06 |
700 | 221              243 4.508e-06 |
720 | 226              248 4.785e-06 |
740 | 235              261 5.982e-06 |
760 | 240              266 4.889e-06 |
780 | 243              269 5.050e-06 |
800 | 253              280 5.143e-06 |
--- + --- ---------------- --------- +
